,Nvidia
Q3 '10,58.7
Q4 '10,60.5
Q1 '11,58.7
Q2 '11,58.4
Q3 '11,59.7
Q4 '11,63.4
Q1 '12,61.9
Q2 '12,59.3
Q3 '12,64
Q4 '12,65.6
Q1 '13,64.3
Q2 '13,61.9
Q3 '13,64.5
Q4 '13,64.9
Q1 '14,64.9
Q2 '14,62
Q3 '14,64.5
Q4 '14,64.9
Q1 '15,77.4
Q2 '15,81.9
Q3 '15,81.1
Q4 '15,78.8
Q1 '16,77.2
Q2 '16,70
Q3 '16,70.9
Q4 '16,70.5
Q1 '17,72.5
Q2 '17,69.7
Q3 '17,72.8
Q4 '17,66.3
Q1 '18,65.1
Q2 '18,63.9
Q3 '18,74.3
Q4 '18,81.2
Q1 '19,77.33
Q2 '19,68
Q3 '19,73
Q4 '19,69
Q1 '20,69
Q2 '20,78
Q3 '20,77
Q4 '20,83
Q1 '21,20
