Date,Open,High,Low,Close,Adj Close,Volume,Revenue,Future,Market_share
1/22/1999,1.75,1.953125,1.552083,1.640625,1.507891,67867200,,,
1/25/1999,1.770833,1.833333,1.640625,1.8125,1.665861,12762000,,,
1/26/1999,1.833333,1.869792,1.645833,1.671875,1.536613,8580000,,,
1/27/1999,1.677083,1.71875,1.583333,1.666667,1.531826,6109200,,,
1/28/1999,1.666667,1.677083,1.651042,1.661458,1.527039,5688000,,,
1/29/1999,1.661458,1.666667,1.583333,1.583333,1.455234,6100800,,,
2/1/1999,1.583333,1.625,1.583333,1.614583,1.483956,3867600,,,
2/2/1999,1.583333,1.625,1.442708,1.489583,1.369069,6602400,,,
2/3/1999,1.46875,1.541667,1.458333,1.520833,1.397791,1878000,,,
2/4/1999,1.541667,1.645833,1.520833,1.604167,1.474383,4548000,,,
2/5/1999,1.630208,1.666667,1.588542,1.651042,1.517465,3421200,,,
2/8/1999,1.661458,1.666667,1.59375,1.59375,1.464808,3852000,,,
2/9/1999,1.625,1.635417,1.510417,1.53125,1.407365,2174400,,,
2/10/1999,1.53125,1.572917,1.489583,1.515625,1.393004,3705600,,,
2/11/1999,1.520833,1.708333,1.520833,1.645833,1.512678,3306000,,,
2/12/1999,1.666667,1.75,1.666667,1.739583,1.598843,2743200,,,
2/16/1999,1.770833,1.84375,1.572917,1.75,1.608417,5275200,,,
2/17/1999,1.708333,1.729167,1.625,1.65625,1.522252,1693200,,,
2/18/1999,1.708333,1.729167,1.635417,1.682292,1.546187,1767600,,,
2/19/1999,1.666667,1.770833,1.645833,1.739583,1.598843,1884000,,,
2/22/1999,1.770833,1.791667,1.65625,1.75,1.608417,5131200,,,
2/23/1999,1.791667,1.869792,1.6875,1.833333,1.685008,3452400,,,
2/24/1999,2.104167,2.1875,1.932292,1.979167,1.819043,15319200,,,
2/25/1999,2.0625,2.125,1.885417,1.916667,1.7616,3728400,,,
2/26/1999,1.9375,2,1.8125,1.828125,1.680221,4315200,,,
3/1/1999,1.875,1.916667,1.75,1.838542,1.689795,2304000,,,
3/2/1999,1.833333,1.84375,1.791667,1.822917,1.675435,1381200,,,
3/3/1999,1.833333,1.833333,1.6875,1.697917,1.560548,1534800,,,
3/4/1999,1.78125,1.791667,1.645833,1.661458,1.527039,1434000,,,
3/5/1999,1.677083,1.760417,1.677083,1.755208,1.613204,1969200,,,
3/8/1999,1.708333,1.833333,1.677083,1.78125,1.637139,1897200,,,
3/9/1999,1.776042,1.864583,1.776042,1.838542,1.689795,3579600,,,
3/10/1999,1.864583,1.864583,1.78125,1.807292,1.661074,5883600,,,
3/11/1999,1.776042,1.807292,1.729167,1.729167,1.58927,1357200,,,
3/12/1999,1.739583,1.739583,1.666667,1.697917,1.560548,2269200,,,
3/15/1999,1.739583,1.791667,1.729167,1.770833,1.627565,2720400,,,
3/16/1999,1.78125,1.802083,1.697917,1.713542,1.574909,1978800,,,
3/17/1999,1.729167,1.760417,1.682292,1.723958,1.584482,1284000,,,
