Date,Revenue,Future,Market_share
11/11/10 ,N/A,N/A,58.7
2/16/11 ,$886.4M,N/A,60.5
5/12/11 ,$962M,=,58.7
8/11/11 ,$1.02B,=,58.4
11/10/11 ,$1.07B,=,59.7
2/15/12 ,$953.2M,N/A,63.4
5/9/13 ,$954.7M,N/A,61.9
5/11/2012 ,$924.9M,N/A,59.3
8/9/2012 ,$1.04B,N/A,64
11/8/2012 ,$1.2B,same,65.6
2/13/2013 ,$1.11B,same,64.3
8/8/2013 ,$977.2M,same,61.9
11/7/2013 ,$1.05B,N/A,64.5
2/12/2014 ,$1.14B,N/A,64.9
5/6/2014 ,$1.1M,N/A,64.9
8/7/2014 ,$1.1B,N/A,62
11/6/2014 ,$1.23B,N/A,64.5
2/11/2015 ,$1.25B,N/A,64.9
5/7/2015 ,$1.15B,N/A,77.4
8/6/2015 ,$1.15B,N/A,81.9
11/5/2015 ,$1.31B,same,81.1
2/17/2016 ,$1.4B,N/A,78.8
5/12/2016 ,$1.3B,up,77.2
8/11/2016 ,$1.43B,N/A,70
11/10/2016 ,$2B,same,70.9
2/9/2017,$2.17B,same,70.5
5/9/2017,$1.94B,same,72.5
8/10/2017,$2.23B,same,69.7
11/9/2017,$2.64B,same,72.8
2/8/2018,$2.91B,same,66.3
5/10/2018,$3.21B,N/A,65.1
8/16/2018,$3.12B,same,63.9
11/15/2018,$3.18B,,74.3
2/14/2019,$2.21B,down,81.2
5/16/2019,$2.22B,same,77.33
8/15/2019,$2.58B,same,68
11/14/2019,$3.01B,down,73
2/13/2020,$3.11B,,69
5/21/2020,$3.08B,up,69
8/19/2020,$3.87B,same,78
11/18/2020,$4.73B,same,77
2/24/2021,$5B,up,83
5/26/2021 ,$5.66B,,80
